Id,A,B,C,D,E,F,G,H,I,Air Quality
1099,14.8,4.5,40.4,22.6,14.6,72.0,1.04,46.2,270,3
1100,3.3,5.9,0.7,47.1,34.4,104.3,2.34,3.4,844,0
1101,6.0,9.5,16.4,23.7,21.7,73.0,1.66,21.4,386,2
1102,2.6,17.3,2.5,47.3,41.0,64.8,1.95,21.8,779,0
1103,10.7,0.4,2.9,22.9,16.7,63.8,0.98,9.4,593,3
1104,10.2,6.3,9.2,25.5,22.8,60.7,1.05,17.3,421,3
1105,7.6,15.9,33.8,39.8,29.2,84.9,1.92,51.8,559,1
1106,5.4,11.4,10.2,35.0,28.7,71.5,1.46,18.8,443,2
1107,5.5,1.6,2.6,23.2,21.1,74.7,1.3,14.7,449,2
1108,12.5,6.8,11.2,22.1,25.3,49.1,0.72,13.8,448,3
1109,11.6,5.1,25.6,29.7,16.0,63.0,1.06,27.1,471,3
1110,11.4,9.1,3.0,26.3,14.6,79.9,1.02,8.1,347,3
1111,4.4,13.1,13.2,29.0,36.1,88.6,2.32,33.7,706,1
1112,7.2,19.7,46.3,41.0,38.9,60.0,1.45,58.9,418,1
1113,8.3,8.7,1.1,32.3,23.1,87.5,1.52,5.4,343,2
1114,11.3,5.4,3.5,27.3,27.5,79.7,1.05,7.7,285,3
1115,8.0,4.7,18.8,22.9,29.4,62.2,1.23,26.5,536,2
1116,10.8,3.5,9.3,22.3,17.2,68.9,0.97,14.7,373,3
1117,15.1,2.3,1.8,21.1,22.0,60.1,1.04,11.2,478,3
1118,8.4,13.3,6.3,32.2,17.3,77.3,1.6,18.6,454,2
1119,17.2,7.5,5.2,24.5,25.9,59.8,1.15,11.3,205,3
1120,13.3,6.3,3.3,25.8,19.5,77.8,1.27,9.3,343,3
1121,10.9,0.4,11.7,21.3,25.4,70.4,0.84,16.8,486,3
1122,5.6,8.0,8.1,30.8,17.8,69.0,1.37,21.3,635,2
1123,11.3,4.3,0.4,20.4,23.4,59.3,1.0,4.2,219,3
1124,8.9,11.6,57.8,29.9,26.5,78.1,1.19,60.5,578,2
1125,10.3,1.8,4.7,29.5,21.5,41.5,1.09,8.7,210,3
1126,12.7,4.8,0.4,25.2,12.3,43.9,1.08,4.9,471,3
1127,11.9,6.9,0.2,24.9,12.5,70.5,1.07,5.9,240,3
1128,10.4,3.8,5.1,21.9,17.1,71.2,0.95,10.4,208,3
1129,5.3,11.6,0.5,35.2,36.2,51.3,1.59,16.0,694,2
1130,4.0,10.2,30.1,35.9,35.1,70.8,1.86,48.9,671,1
1131,10.3,0.3,4.5,24.2,22.3,62.7,0.99,8.5,555,3
1132,6.1,10.5,86.1,31.5,22.7,80.0,1.41,89.9,647,2
1133,5.3,16.0,0.7,35.0,25.3,57.4,1.42,5.1,441,2
1134,5.3,24.5,37.2,18.8,37.4,57.1,2.01,46.4,528,2
1135,10.6,3.9,9.9,24.0,25.9,42.5,0.91,14.9,310,3
1136,13.3,4.5,10.3,21.7,13.4,75.0,1.15,15.5,285,3
1137,12.2,5.2,20.0,17.6,22.6,77.1,0.99,24.3,487,3
1138,14.3,8.7,4.2,25.1,21.7,56.1,0.98,10.2,266,3
1139,11.8,5.7,2.3,23.5,15.4,54.8,1.06,9.1,325,3
1140,5.9,9.3,41.8,33.8,34.5,68.0,1.37,47.8,652,2
1141,8.0,19.2,12.4,31.0,30.1,46.3,1.31,31.1,484,2
1142,8.2,3.8,3.2,33.4,23.7,76.3,1.89,7.9,388,2
1143,5.4,15.7,26.6,32.9,26.6,102.4,1.86,41.3,394,1
1144,5.3,6.5,18.4,35.4,25.3,85.1,1.56,25.0,425,2
1145,5.4,5.2,17.1,26.9,26.9,72.5,1.52,37.3,479,1
1146,10.5,5.9,1.7,23.0,24.5,43.6,0.88,7.5,317,3
1147,9.4,15.2,11.0,40.5,19.4,87.4,1.44,17.9,476,2
1148,10.9,3.6,8.7,26.8,14.3,47.4,1.08,14.2,344,3
1149,4.2,15.6,1.1,39.3,38.6,104.7,2.74,14.1,634,0
1150,5.4,10.0,95.6,34.2,34.9,89.5,1.98,110.4,566,1
1151,3.8,19.3,27.9,40.8,52.3,80.0,2.06,44.3,530,0
1152,6.7,26.2,59.1,29.9,24.4,72.8,1.97,70.0,465,1
1153,5.0,13.0,13.7,29.4,27.6,64.6,1.83,29.0,722,1
1154,11.0,7.4,13.3,21.7,17.8,42.4,1.09,17.0,239,3
1155,10.6,5.3,2.2,24.4,27.9,54.0,1.05,5.3,431,3
1156,7.4,13.1,0.8,27.6,26.5,84.1,1.55,12.4,668,2
1157,9.6,15.4,16.5,30.4,43.4,67.5,1.97,21.0,502,1
1158,6.0,18.1,17.5,27.7,22.5,62.9,1.56,24.0,495,2
1159,10.6,1.1,32.0,23.3,23.1,48.1,0.93,35.7,321,3
1160,6.9,9.9,49.3,21.1,30.7,54.2,1.5,59.1,660,2
1161,11.9,6.6,6.7,29.5,14.0,54.8,0.78,15.1,315,3
1162,3.7,10.1,17.4,45.0,46.3,82.6,2.82,27.2,592,0
1163,13.4,6.2,11.1,29.4,19.1,44.4,0.99,18.8,304,3
1164,5.9,20.6,8.0,36.9,36.2,84.6,2.29,23.5,745,1
1165,8.3,26.4,20.2,32.2,33.7,62.2,2.12,34.3,512,0
1166,10.7,2.2,0.1,24.1,20.9,77.2,0.86,9.6,539,3
1167,13.1,4.4,2.6,22.3,23.8,40.5,0.85,7.1,549,3
1168,3.6,15.1,2.5,31.2,22.1,60.4,2.06,5.5,732,1
1169,6.1,6.7,18.2,28.3,29.0,82.6,1.49,25.7,563,2
1170,4.7,23.3,5.2,35.8,45.1,87.2,1.63,15.7,809,1
1171,10.1,5.0,8.5,25.7,18.6,65.8,0.93,15.1,393,3
1172,15.3,4.2,25.1,28.5,18.5,81.6,1.02,33.5,448,3
1173,12.3,4.6,15.3,30.2,20.7,75.6,0.95,18.2,445,3
1174,12.4,5.6,24.9,24.5,20.3,41.7,0.99,29.5,285,3
1175,12.5,3.3,18.2,22.5,20.1,54.1,1.13,23.6,567,3
1176,15.2,3.5,1.8,25.9,20.4,41.0,1.13,0.1,293,3
1177,8.0,17.1,11.0,31.6,24.5,71.5,1.57,24.3,560,2
1178,15.9,6.5,6.0,18.0,21.2,68.7,1.15,9.3,266,3
1179,12.5,4.8,4.6,23.5,35.7,70.8,1.45,13.3,345,2
1180,5.2,10.8,2.7,35.9,19.1,78.3,1.41,4.1,620,2
1181,12.3,-0.1,3.3,28.7,24.1,89.4,1.89,10.7,590,2
1182,7.2,15.6,106.3,35.1,28.2,64.8,2.24,125.3,762,1
1183,4.0,19.9,14.8,37.8,27.1,84.0,1.8,21.3,688,1
1184,3.9,12.5,9.1,23.0,34.8,86.2,1.99,25.3,559,1
1185,10.4,7.0,1.8,29.2,17.8,46.6,1.04,6.6,579,3
1186,12.9,3.5,9.4,25.6,20.3,71.2,0.88,12.1,516,3
1187,4.3,9.2,2.4,34.3,34.4,78.8,1.79,14.6,681,1
1188,4.8,18.6,49.7,35.4,48.3,108.9,2.53,71.8,712,0
1189,13.2,3.1,3.0,28.2,15.6,74.4,1.01,9.7,419,3
1190,4.4,18.2,14.0,44.3,37.2,87.7,2.75,22.3,471,0
1191,7.4,12.9,4.5,38.3,35.0,78.7,1.93,16.8,451,1
1192,3.9,26.5,12.6,40.9,32.6,85.1,2.03,47.9,783,0
1193,5.8,15.3,7.5,32.7,31.0,86.0,1.3,17.3,683,2
1194,18.6,5.0,5.3,23.6,16.3,79.9,0.99,12.4,528,3
1195,10.6,6.1,3.8,27.2,22.7,57.8,0.9,10.9,481,3
1196,12.0,7.0,25.2,24.2,24.6,51.3,0.97,30.8,506,3
1197,12.8,7.1,9.7,20.0,14.7,55.0,1.0,17.2,283,3
1198,7.1,9.2,43.8,31.2,20.5,83.8,1.65,61.7,621,2
1199,4.3,17.1,2.0,40.3,37.5,81.9,2.05,17.8,444,1
1200,10.0,3.0,0.2,29.9,15.8,43.6,1.04,5.2,516,3
1201,11.8,4.7,11.8,32.8,13.7,56.3,0.97,15.8,286,3
1202,5.4,10.0,37.0,28.3,22.9,87.1,1.48,48.5,550,2
1203,6.3,4.1,10.6,24.1,23.4,70.9,1.47,17.7,475,2
1204,10.3,2.8,2.4,25.2,16.6,64.0,1.07,6.9,508,3
1205,11.0,4.2,8.1,24.7,17.3,70.4,1.04,12.2,243,3
1206,5.3,4.2,60.9,25.8,34.3,67.1,1.81,74.3,508,2
1207,10.6,0.0,3.1,24.4,22.3,66.9,1.14,11.3,230,3
1208,2.7,-0.2,66.5,44.1,33.2,72.6,2.49,86.1,565,0
1209,4.4,9.4,19.1,33.6,55.8,68.8,2.42,42.3,663,0
1210,7.9,19.5,60.4,33.8,30.7,72.7,1.52,71.8,610,1
1211,16.6,5.1,8.4,25.0,15.1,58.6,0.89,12.3,255,3
1212,5.6,1.0,55.3,33.6,36.2,51.9,2.41,62.7,403,1
1213,3.6,7.3,20.8,29.2,30.9,93.5,1.65,29.8,713,1
1214,4.0,12.4,19.9,36.5,33.3,86.5,2.14,32.8,623,1
1215,8.2,16.3,12.7,34.8,23.4,72.7,1.68,20.2,679,2
1216,10.7,12.7,23.5,30.9,24.4,70.6,1.34,40.2,393,2
1217,15.6,5.4,4.1,16.6,19.8,38.7,0.95,8.5,264,3
1218,11.6,0.9,4.0,13.4,25.1,65.8,0.74,7.0,322,3
1219,15.0,3.7,7.6,26.7,24.0,64.4,1.07,14.9,544,3
1220,10.3,8.3,26.1,26.3,19.9,62.2,1.09,32.7,259,3
1221,11.1,5.5,14.8,29.6,22.5,53.0,0.99,20.6,509,3
1222,12.2,4.6,15.6,30.8,16.0,47.1,1.02,20.0,329,3
1223,5.4,1.7,10.3,31.6,31.4,67.0,1.3,22.0,513,2
1224,3.9,20.8,18.7,42.3,28.1,70.8,2.21,35.2,651,1
1225,11.5,6.9,9.1,24.3,13.6,50.6,0.99,13.1,245,3
1226,10.6,15.3,10.6,23.0,26.1,59.3,1.42,18.8,337,2
1227,10.4,1.8,4.1,30.9,14.3,46.6,0.98,13.6,218,3
1228,12.9,10.3,10.3,21.2,13.9,69.6,1.01,16.7,509,3
1229,6.2,16.8,41.6,29.1,31.5,79.4,2.49,56.1,542,1
1230,4.0,13.3,42.3,35.8,29.8,71.8,2.32,53.4,485,1
1231,10.9,6.5,0.1,27.3,15.3,70.7,1.11,6.3,454,3
1232,11.5,5.5,15.2,23.6,22.2,70.0,1.11,17.8,482,3
1233,8.8,7.3,7.7,24.5,25.2,62.2,1.65,12.4,393,2
1234,11.1,2.2,29.5,21.6,26.1,56.3,0.98,35.8,298,3
1235,6.0,14.8,52.6,40.6,39.3,81.7,1.74,76.5,755,1
1236,7.6,4.6,0.3,20.6,22.0,80.6,1.49,5.1,647,2
1237,4.0,25.9,82.1,38.5,35.9,65.0,1.85,96.8,611,1
1238,5.1,13.9,34.4,30.8,14.0,63.9,1.52,43.3,350,2
1239,6.2,5.3,1.0,40.0,34.3,52.7,1.25,12.1,355,2
1240,5.4,21.4,2.1,36.0,37.2,70.0,2.18,14.1,495,1
1241,6.2,4.5,30.9,22.3,17.5,51.0,1.78,40.0,294,2
1242,10.7,2.5,5.1,22.8,22.1,61.5,0.98,14.2,489,3
1243,3.5,14.1,10.9,30.6,26.3,78.3,2.62,27.7,651,1
1244,4.6,11.3,16.6,32.4,43.8,74.5,2.2,35.0,374,1
1245,5.7,12.3,31.8,44.1,51.1,109.2,2.27,44.9,640,0
1246,6.5,20.6,19.9,32.1,33.3,66.3,1.68,28.8,474,1
1247,5.2,2.5,16.0,30.4,32.8,80.0,1.66,29.5,459,2
1248,5.3,13.2,31.6,30.3,23.5,67.3,1.23,33.1,670,2
1249,13.7,7.1,22.4,31.1,25.7,69.9,1.04,25.7,417,3
1250,7.0,12.4,71.4,29.5,31.9,76.7,1.27,79.9,550,2
1251,11.4,5.9,0.5,21.4,21.1,52.4,0.94,7.4,200,3
1252,7.4,22.3,2.0,42.0,33.7,86.2,1.7,8.8,538,1
1253,5.3,7.1,70.6,30.0,30.7,85.1,1.52,91.5,373,2
1254,9.0,15.7,20.5,31.2,25.2,49.7,1.59,30.6,347,2
1255,11.1,2.5,8.8,27.4,22.2,36.0,1.04,16.7,407,3
1256,4.1,13.1,55.0,44.3,32.7,61.7,1.82,66.4,614,1
1257,12.2,7.6,7.9,29.5,20.5,61.5,0.87,11.0,378,3
1258,6.8,29.0,39.3,38.3,32.3,107.8,2.61,60.8,462,0
1259,11.2,6.5,15.2,22.2,17.5,69.8,1.03,21.7,294,3
1260,3.6,8.2,56.7,39.1,39.7,82.9,2.0,69.3,543,1
1261,10.2,7.8,15.8,28.7,17.5,80.2,0.87,23.3,512,3
1262,10.3,1.6,3.6,23.5,23.2,44.5,1.02,8.1,221,3
1263,8.5,8.0,24.2,27.8,28.1,85.9,1.31,35.3,497,2
1264,10.5,8.3,109.6,35.3,40.9,65.1,2.64,122.9,777,1
1265,3.3,17.4,15.8,56.0,48.9,68.8,3.11,29.9,535,0
1266,7.8,3.7,21.4,25.6,30.4,60.3,1.37,34.0,315,2
1267,6.2,7.4,35.3,33.0,31.2,90.1,1.6,49.5,358,2
1268,13.1,2.4,23.2,20.6,13.6,69.0,0.92,27.0,444,3
1269,5.7,1.3,27.8,28.2,23.7,73.2,1.46,39.6,563,2
1270,6.0,12.0,31.4,34.9,19.6,51.8,1.46,40.1,634,2
1271,10.1,11.3,28.7,31.0,44.2,93.2,2.29,48.3,592,1
1272,10.1,4.6,5.5,34.1,20.9,73.4,1.0,12.2,188,3
1273,2.6,20.6,13.7,51.3,64.9,89.9,2.18,28.8,807,0
1274,5.1,14.2,3.1,52.7,53.0,61.7,2.29,17.3,731,0
1275,15.9,24.5,76.4,55.7,40.8,75.9,1.98,82.2,650,0
1276,11.0,1.1,48.2,25.4,21.1,43.2,0.95,55.1,537,3
1277,10.1,2.3,2.9,24.7,22.9,57.4,0.92,7.9,361,3
1278,11.9,2.0,20.1,22.6,17.9,72.2,1.13,23.5,581,3
1279,5.0,30.8,37.5,44.6,39.1,78.5,2.95,42.2,743,0
1280,6.7,16.7,11.9,30.5,25.6,80.8,1.87,27.8,716,1
1281,11.9,5.5,14.9,27.1,19.1,81.7,0.92,19.8,242,3
1282,9.0,12.7,28.1,36.1,31.7,82.6,1.52,28.1,601,2
1283,9.4,17.4,19.6,45.5,29.1,90.8,2.76,56.9,684,0
1284,7.2,5.8,35.2,31.1,26.9,70.9,1.45,44.7,455,2
1285,5.6,11.0,5.5,30.7,25.8,65.8,1.32,14.2,380,2
1286,6.2,10.8,22.2,31.7,31.5,78.8,1.6,33.1,494,2
1287,11.0,6.2,24.8,23.5,17.5,56.5,1.01,31.9,329,3
1288,6.4,11.6,54.5,34.2,28.2,81.3,2.19,65.0,709,1
1289,5.1,13.2,4.1,34.7,29.5,85.0,1.41,14.2,608,2
1290,11.7,3.7,0.5,25.1,16.7,49.3,0.89,6.3,239,3
1291,6.3,8.1,52.1,33.3,26.1,64.4,1.41,66.2,584,2
1292,6.1,11.9,33.8,19.6,30.4,65.5,1.47,39.8,629,2
1293,13.7,9.2,15.8,24.6,23.2,78.7,0.93,24.2,384,3
1294,2.6,34.0,13.5,22.9,30.5,89.4,3.09,34.2,833,0
1295,2.6,7.8,47.7,41.9,54.2,96.6,2.9,73.1,682,0
1296,4.9,16.4,65.3,30.1,36.8,80.4,1.71,77.1,597,1
1297,3.5,17.2,112.5,36.4,33.0,115.7,2.83,121.6,560,0
1298,10.7,5.4,23.7,26.2,16.7,63.6,1.08,29.5,412,3
1299,6.7,8.8,4.7,36.3,24.0,58.4,1.46,13.2,629,2
1300,10.3,9.1,0.6,28.4,24.8,42.8,1.05,6.7,599,3
1301,12.2,3.2,2.7,24.8,12.7,44.9,0.96,12.5,405,3
1302,11.4,6.0,12.9,25.0,18.6,45.1,0.95,17.6,605,3
1303,7.5,13.7,15.6,38.5,37.3,87.4,1.62,22.3,412,1
1304,6.3,29.7,2.1,44.1,31.4,101.9,2.66,40.8,761,0
1305,12.4,3.4,5.0,28.0,15.5,64.0,0.88,10.8,470,3
1306,6.4,9.5,20.5,34.0,29.1,62.5,1.8,30.6,346,2
1307,10.5,5.5,14.3,24.9,22.6,38.5,0.88,19.5,369,3
1308,10.1,8.0,16.2,19.9,19.9,76.5,0.88,23.2,330,3
1309,4.7,20.6,13.8,35.8,30.5,64.1,1.79,27.3,626,1
1310,2.5,33.9,42.7,52.8,42.5,83.3,2.46,72.1,561,0
1311,6.9,16.8,51.5,31.8,20.7,85.8,1.63,73.1,683,2
1312,11.6,5.7,0.3,28.1,16.1,42.5,0.99,5.1,326,3
1313,10.5,5.4,4.3,26.8,20.0,70.4,1.16,9.3,591,3
1314,10.3,7.2,13.6,21.4,13.1,46.6,1.22,21.9,253,3
1315,9.6,13.0,4.7,35.2,21.6,68.3,1.3,16.8,478,2
1316,13.0,7.7,3.4,28.2,17.2,52.3,0.84,11.8,243,3
1317,11.0,4.4,2.8,21.9,15.3,70.5,0.83,9.8,326,3
1318,5.4,9.3,17.0,30.6,27.1,58.5,1.54,31.9,405,2
1319,10.8,1.9,0.8,24.8,15.0,76.1,0.86,9.4,458,3
1320,14.2,4.3,1.4,19.7,20.1,73.8,1.1,6.7,532,3
1321,7.8,8.0,34.2,32.0,34.5,60.1,1.49,50.5,605,2
1322,6.1,7.7,4.4,31.9,27.0,57.1,1.23,12.0,395,2
1323,10.2,5.0,10.2,25.8,14.2,54.7,1.03,15.8,535,3
1324,2.5,16.0,28.8,35.0,50.0,99.0,2.66,37.8,586,0
1325,11.9,3.0,42.2,25.5,19.0,74.9,0.94,46.7,421,3
1326,10.7,5.5,0.2,30.4,19.6,58.9,1.06,4.5,355,3
1327,10.3,6.5,2.5,29.7,16.8,64.0,0.98,4.3,445,3
1328,9.3,29.6,89.8,41.7,27.3,84.9,2.39,106.8,923,0
1329,10.7,7.9,2.0,28.0,23.7,57.2,0.92,7.0,419,3
1330,15.6,5.9,18.2,28.8,22.1,67.1,1.03,23.0,569,3
1331,14.1,5.2,12.5,27.8,18.8,64.2,1.0,17.2,323,3
1332,9.0,15.2,2.8,33.2,26.7,109.9,1.88,14.8,511,1
1333,5.1,17.7,15.5,24.7,33.3,87.2,2.27,25.1,670,1
1334,11.2,5.8,22.5,29.1,19.6,41.6,0.99,25.3,263,3
1335,4.5,0.7,4.5,27.8,39.5,96.1,1.99,31.9,614,1
1336,6.8,11.3,18.1,34.2,24.6,78.8,1.73,29.6,441,2
1337,11.4,3.0,11.6,25.5,11.2,73.0,1.06,16.3,494,3
1338,4.0,21.5,10.5,29.6,30.7,80.8,2.94,31.9,558,1
1339,3.7,1.6,75.0,38.5,34.9,57.4,2.35,83.0,505,1
1340,8.0,19.1,5.6,24.6,28.7,82.8,2.02,19.8,710,1
1341,10.8,12.1,9.4,23.3,21.0,52.6,1.41,17.5,498,2
1342,10.5,6.9,13.8,21.7,17.5,56.3,1.09,25.0,605,3
1343,4.8,23.8,0.7,38.2,29.7,71.9,2.18,27.3,593,1
1344,8.0,17.2,15.7,34.4,28.9,54.0,1.58,28.5,487,2
1345,4.2,21.3,27.5,41.4,28.9,74.4,2.18,38.8,778,1
1346,7.0,11.8,17.5,25.4,18.7,75.7,1.45,29.2,462,2
1347,10.8,4.3,28.3,18.7,20.3,53.5,0.94,35.6,530,3
1348,2.6,23.2,67.9,45.9,48.6,69.9,2.29,68.3,871,0
1349,10.8,4.5,34.7,23.1,21.6,70.5,0.85,39.4,283,3
1350,11.2,4.9,1.7,20.9,24.8,41.1,1.08,8.4,590,3
1351,5.5,10.9,18.2,27.0,15.5,84.3,1.08,25.4,431,2
1352,13.3,7.2,12.0,28.8,25.9,40.1,1.06,17.6,390,3
1353,7.2,6.4,14.6,34.4,28.4,68.6,1.36,20.6,412,2
1354,3.5,13.7,9.6,38.6,28.4,58.3,2.17,29.6,422,1
1355,7.1,16.6,8.9,34.8,32.5,75.2,1.8,28.9,517,1
1356,5.1,7.8,7.0,34.9,31.4,83.9,1.68,9.5,524,2
1357,10.2,6.2,38.8,26.0,15.1,49.6,1.15,43.0,469,3
1358,10.2,9.1,4.0,19.6,21.1,38.3,0.95,8.8,285,3
1359,14.1,6.4,9.4,18.2,15.5,45.5,0.89,17.0,373,3
1360,3.4,32.5,42.0,44.1,38.7,91.8,2.39,61.6,613,0
1361,11.6,6.7,7.7,29.6,18.6,54.6,0.99,14.1,340,3
1362,6.1,4.1,7.1,30.9,27.7,73.9,1.19,19.8,545,2
1363,7.1,15.9,14.5,30.9,27.9,81.4,1.59,24.8,392,2
1364,10.8,9.4,16.4,21.9,23.3,56.3,0.84,20.3,271,3
1365,5.5,15.4,44.5,24.0,29.5,86.1,1.49,52.2,689,2
1366,5.2,24.8,5.6,35.5,44.0,75.9,2.39,28.7,536,1
1367,5.1,11.9,5.8,29.2,25.7,83.7,1.46,20.6,698,2
1368,7.9,13.4,98.3,28.9,34.8,87.3,1.76,118.1,760,1
1369,10.7,5.9,34.2,22.4,28.2,65.2,1.02,38.7,532,3
1370,5.1,10.6,2.4,40.8,29.8,82.2,1.04,14.3,481,2
1371,4.5,18.5,11.4,39.1,27.9,82.6,2.0,31.9,750,1
1372,7.0,6.4,14.3,34.1,19.6,90.5,1.59,17.4,494,2
1373,13.6,3.5,9.2,20.1,15.9,73.7,0.93,14.6,512,3
1374,8.2,9.3,14.5,28.1,27.0,82.0,1.47,19.5,697,2
1375,3.7,8.1,15.0,39.3,34.2,73.0,2.05,35.5,655,1
1376,11.4,7.1,6.7,21.9,13.7,48.9,0.93,11.1,549,3
1377,4.3,14.1,2.3,25.3,33.5,79.8,2.04,10.9,602,1
1378,16.5,7.0,11.7,25.7,18.6,39.5,1.01,16.9,206,3
1379,10.2,4.5,7.8,24.5,21.6,73.3,0.94,12.5,322,3
1380,10.9,3.1,12.3,26.0,24.8,65.5,0.99,16.1,405,3
1381,4.3,28.8,168.6,41.3,47.0,103.3,1.99,185.0,631,0
1382,5.1,11.8,37.3,32.6,27.8,61.4,1.65,53.1,529,2
1383,7.3,10.1,3.1,33.4,23.3,80.3,1.76,13.0,600,2
1384,10.7,4.6,3.5,24.5,25.3,73.2,1.37,7.3,399,3
1385,9.7,10.1,13.7,30.2,29.8,72.3,1.74,22.2,555,1
1386,3.3,5.3,120.5,33.8,41.6,78.8,1.88,139.6,688,1
1387,10.5,6.6,6.2,24.0,22.0,79.3,0.9,13.3,579,3
1388,25.2,4.0,7.5,22.0,21.2,72.9,0.88,11.7,300,3
1389,7.6,9.5,20.4,28.7,31.8,60.8,1.4,34.7,667,2
1390,10.4,18.3,15.8,47.1,29.7,61.2,1.56,34.2,675,1
1391,10.1,6.0,26.9,27.3,16.6,79.9,0.91,33.8,365,3
1392,2.7,23.6,115.9,38.1,37.6,92.0,2.96,153.7,511,0
1393,12.5,9.2,19.1,22.2,25.0,69.7,1.15,21.7,595,3
1394,10.9,7.0,1.5,28.3,23.4,59.1,1.1,6.1,511,3
1395,19.2,5.0,1.3,28.5,15.1,44.0,0.83,3.1,405,3
1396,11.0,5.0,30.4,27.7,28.8,68.1,0.86,35.6,485,3
1397,10.8,10.5,10.5,26.9,30.4,66.8,1.71,18.7,589,2
1398,12.3,4.4,9.5,25.1,25.8,70.1,0.83,17.4,596,3
1399,6.9,12.4,6.7,30.1,28.7,71.8,1.34,24.3,571,2
1400,9.2,2.7,1.0,24.8,24.8,84.3,1.64,9.2,614,2
1401,7.1,15.9,25.9,34.0,41.7,104.3,2.35,44.1,676,0
1402,7.2,9.5,12.6,32.7,30.5,64.6,1.65,18.9,505,2
1403,5.1,7.0,28.9,32.4,31.0,62.5,1.64,38.3,688,2
1404,5.6,11.1,21.5,28.4,21.6,79.6,1.68,37.8,655,2
1405,14.2,3.6,4.9,22.5,24.6,67.5,0.97,8.1,471,3
1406,14.0,3.9,4.2,28.8,12.1,44.8,0.92,8.8,298,3
1407,7.0,11.4,7.9,30.1,26.4,56.7,1.39,25.2,662,2
1408,6.1,14.5,3.3,24.2,23.6,80.6,1.22,13.0,367,2
1409,7.2,11.6,20.8,29.7,26.9,82.0,1.39,30.1,424,2
1410,7.9,10.2,49.1,34.1,23.1,65.4,1.49,56.2,385,2
1411,10.8,6.8,0.0,24.0,15.1,46.1,1.13,2.2,465,3
1412,5.4,13.4,9.8,29.1,29.3,93.5,1.54,30.2,402,1
1413,5.1,25.8,16.9,37.7,40.0,73.8,2.3,36.9,451,1
1414,10.2,1.3,9.2,25.6,17.1,46.0,0.88,14.7,333,3
1415,11.2,3.4,16.9,24.7,16.6,38.8,1.06,24.5,485,3
1416,4.5,19.6,61.9,40.5,37.6,106.5,3.03,84.7,625,0
1417,7.2,19.9,21.9,36.6,30.7,90.5,2.3,33.1,443,1
1418,6.7,10.9,45.9,24.6,19.0,90.1,1.79,52.9,550,2
1419,11.6,5.1,11.1,22.3,19.5,50.9,1.02,18.3,287,3
1420,6.4,12.3,6.0,32.9,21.0,56.0,1.78,15.9,434,2
1421,9.0,9.0,11.8,28.1,28.6,83.5,1.07,24.0,690,2
1422,11.1,6.1,1.2,29.5,13.6,68.8,0.98,7.0,368,3
1423,9.6,7.2,5.1,26.8,28.3,91.8,1.31,10.5,376,2
1424,18.7,4.4,11.0,20.2,12.2,52.4,0.95,14.6,418,3
1425,10.9,5.8,0.8,23.2,21.7,39.6,0.91,7.3,438,3
1426,4.9,19.9,9.5,33.3,38.2,59.2,1.69,25.1,450,1
1427,8.4,10.8,75.3,25.2,30.1,69.1,2.18,89.9,483,1
1428,10.9,5.6,1.1,27.5,14.1,62.3,1.04,6.0,533,3
1429,5.5,11.0,15.8,38.2,26.2,95.1,2.43,31.3,616,1
1430,4.3,9.1,12.6,41.4,41.2,82.4,1.91,27.3,471,1
1431,11.3,6.0,2.5,22.2,20.6,76.9,0.92,5.7,339,3
1432,11.6,8.8,40.9,28.2,21.3,49.3,1.64,48.4,617,2
1433,10.8,4.6,18.1,27.3,12.8,48.7,1.05,24.7,224,3
1434,6.2,5.6,37.5,48.6,34.3,88.7,1.75,64.1,592,1
1435,4.5,13.8,7.0,36.0,36.2,95.2,1.75,21.6,564,1
1436,10.5,5.0,6.5,21.2,22.9,59.5,1.09,9.8,595,3
1437,11.4,6.2,10.6,21.5,15.6,47.3,1.0,18.8,271,3
1438,13.9,4.5,12.1,27.8,25.5,66.9,1.06,14.6,442,3
1439,10.4,6.3,10.5,23.6,17.1,73.0,1.03,13.8,571,3
1440,7.2,25.1,54.1,33.5,30.6,68.3,1.52,72.7,570,1
1441,6.9,10.3,25.1,21.2,26.0,75.1,1.48,31.7,666,2
1442,5.7,8.2,16.8,28.4,30.0,76.2,1.64,28.7,644,2
1443,6.9,7.4,30.9,31.7,21.7,51.8,1.08,45.9,460,2
1444,5.4,12.3,24.6,28.4,23.5,62.8,1.53,35.1,543,2
1445,7.9,9.8,39.1,27.7,33.0,58.8,1.43,50.7,408,2
1446,10.8,4.7,0.1,24.7,13.0,78.7,0.97,6.4,193,3
1447,5.4,11.4,53.5,32.5,22.0,74.8,1.54,65.2,399,2
1448,9.3,10.1,6.7,27.5,24.2,83.2,1.63,16.6,566,2
1449,10.3,5.9,29.5,24.2,17.0,75.7,1.06,34.0,483,3
1450,10.4,7.8,4.6,23.1,20.0,45.4,1.09,14.4,310,3
1451,10.2,1.8,2.2,25.2,12.2,77.3,0.87,4.3,547,3
1452,6.6,5.9,4.8,19.1,33.6,50.6,1.98,18.4,648,2
1453,10.9,3.6,2.2,24.2,20.9,46.4,1.04,7.6,365,3
1454,3.4,16.0,87.4,44.7,37.8,78.8,2.07,113.0,549,1
1455,6.0,18.3,29.3,32.2,32.9,59.9,2.14,38.6,563,1
1456,5.2,13.2,113.9,29.3,36.9,72.3,1.53,126.4,630,2
